
# Phrasal verbs
connection (n);sự liên hệ, mối liên hệ
blame (n);trách nhiệm về một tình huống tệ
fault (n);lỗi sai
old (adj);cũ, già
ancient (adj);cổ kính
crowd (n);đám đông
audience (n);khán giả
enjoy (V);hưởng thụ
please (v);làm ai đó thấy vui vẻ, thỏa mãn
support (v);hỗ trợ, ủng hộ
assist (v);trợ giúp
kind (adj);tốt bụng
polite (adj);lịch sự
sympathetic (adj);đầy cảm thông
likeable (adj);dễ chịu, thân thiện
nervous (adj);hồi hộp
bad-tempered (adj);nóng tính, cáu kỉnh
sensitive (adj);nhạy cảm
sensible (adj);khôn ngoan, hợp lý
company (n);sự đồng hành
group (n);đội, nhóm
popular (adj);phổ biến, được yêu thích
famous (adj);nổi tiếng
typical (adj);đặc thù
usual (adj);thông thường
ordinary (adj);bình thường
close (adj);gần gũi, thân mật (về quan hệ)
near (adj);gần (về khoảng cách)
unknown (adj);vô danh, không được biết tới
infamous (adj);khét tiếng
ask after;hỏi thăm
bring up;nuôi nấng (trẻ con)
fall for;yêu/ tin vào (lời nói dối, trò đùa)
fall out (with);cãi nhau
get on (with);tiếp tục làm gì
grow up;lớn lên
look down on;khinh thường
look up to;tôn trọng
make up;làm lành
pass away;qua đời
pick on;đối xử tệ, bắt nạt (nhiều lần)
put down;phê phán, chê bai
settle down;bình tĩnh lại/ ổn định cuộc sống
stand up for;ủng hộ
take aback;gây ngạc nhiên


# Unit 8: The media
deny (v);phủ nhận
refuse (v);từ chối
agree (v);đồng ý
accept (v);chấp nhận
headline (n);tiêu đề, đề mục (bài báo)
heading (n);tiêu đề (trang sách, bài báo)
feature (n);bài/tiết mục đặc biệt
article (n);bài báo
talk show (n);chương trình tọa đàm
quiz show (n);chương trình đố vui
game show (n);chương trình trò chơi truyền hình
announcer (n);người dẫn chương trình
commentator (n);bình luận viên
tabloid (n);báo lá cải
broadsheet (n);báo khổ rộng
journalist (n);nhà báo
columnist (n);nhà báo viết chuyên mục
press (n);báo chí
media (n);các đơn vị truyền thông
programme (n);chương trình (phát thanh hoặc truyền hình)
program (n);chương trình lập trình
channel (n);kênh
broadcast (n);chương trình được phát sóng
bulletin (n);bản tin, tin vắn
newsflash (n);tin khẩn (ngắt ngang chương trình khác)
bring up;bắt đầu thảo luận về
come on;bắt đầu phát sóng
come out;được xuất bản
fill in;điền (thông tin)
flick through;lật trang (báo, tạp chí) nhanh
go into;nói/xử lý/giải thích cụ thể
hand out;phát cho
look up;tra cứu
make out;giả vờ, bịa chuyện/nhận thức được, biết được
make up;bịa đặt/sáng tác
put forward;gợi ý, đề xuất
see through;nhìn thấu
stand out;nổi bật
turn over;lật trang (sách)


# Unit 6: Science and technology
artificial (adj);nhân tạo
false (adj);giả
natural (adj);tự nhiên
physical (adj);(thuộc) thực thể, vật chất
true (adj);đúng, thật
accurate (adj);chính xác
method (n);phương pháp
way (n);cách thức
engine (n);động cơ
machine (n);máy móc
motor (n);động cơ
aim (n);mục tiêu
cause (n);nguyên nhân (người, vật, việc)
reason (n);nguyên nhân, lí do (thực trạng, tình huống)
estimate (v);ước lượng, ước tính
calculate (v);tính toán
electric (adj);(thuộc) điện
electronic (adj);(thuộc) điện tử
invent (v);phát minh
discover (v);khám phá
research (n);nghiên cứu
experiment (n);thí nghiệm
progress (n);tiến bộ
development (n);sự phát triển
modern (adj);hiện đại
new (adj);mới
industry (n);ngành
factory (n);nhà máy
award (n);giải thưởng
reward (n);phần thưởng
take place (phr);diễn ra
occur (v);diễn ra
break down;(máy móc) ngưng hoạt động
carry out;thực hiện
come off;thành công
come on;phát triển, có tiến triển
come up with;nghĩ ra (ý tưởng, kế hoạch)
cut off;ngừng cung cấp
find out;tìm ra
give off;gây ra (nhiệt độ, mùi)
narrow down;giới hạn lại
plug in;cắm (điện)
put through;nối máy
turn into;chuyển thành
turn off;tắt, ngừng
work out;tìm ra giải pháp


# Unit 4: Hobbies, sport and games
pitch (n);sân thể thao
track (n);đường đua
court (n);sân vợt
course (n);sân chơi thể thao
ring (n);sàn đấu (đấm bốc, đấu vật)
rink (n);sân trượt (patin, trượt băng)
win (v);chiến thắng
beat (v);đánh bại
score (v);ghi bàn
play (n);vở kịch
game (n);trò chơi
spectator (n);khán giả (sự kiện công cộng)
viewer (n);người xem (tivi)
umpire (n);trọng tài (quần vợt, bóng chày, cricket)
referee (n);trọng tài
final (n);trận chung kết
finale (n);màn cuối cùng
end (n);điểm kết thúc
ending (n);kết truyện
bat (n);gậy, vợt (bóng chày, cricket, bóng bàn)
atick (n);que, gậy
rod (n);que, gậy, cần
racket (n);vợt (quần vợt)
amateur (adj);nghiệp dư
professional (adj);chuyên nghiệp
sport (n);thể thao
athletics (n);điền kinh
interval (n);khoảng nghỉ (giữa vở kịch, buổi hòa nhạc)
half time;khoảng nghỉ giữa hiệp
draw (v);có kết quả hòa
equal (v);bằng nhau, ngang nhau
competitor (n);đấu thủ
opponent (n);đối thủ
bring forward;đẩy lên sớm
carry on;tiếp tục
get round to;bắt đầu (sau khi đã chuẩn bị lâu)
get up to;làm việc gì đó không nên
go in for;tham gia, tiến vào/ thích
go off;ngừng yêu thích
join in;tham gia
knock out;đánh bại hoàn toàn/ khiến (ai) bất tỉnh
look out;cẩn thận
pull out;rút khỏi, ngừng
put off;trì hoãn
put up with;tha thứ, chịu đựng
take to;bắt đầu (một thói quen)
take up;bắt đầu làm/chơi (một sở thích, môn thể thao)/ chiếm dụng


# Unit 2: Travel and transport
voyage (n);chuyến đi (bằng tàu thủy)
journey (n);hành trình
trip (n);chuyến đi
travel (n);sự đi lại
excursion (n);chuyến du ngoạn
view (n);quang cảnh, tầm nhìn
sight (n);cảnh vật
world (n);thế giới
earth (n);trái đất
area (n);khu vực
territory (n);vùng lãnh thổ
season (n);mùa
period (n);giai đoạn
fare (n);giá vé
ticket (n);vé
fee (n);mức phí
miss (v);lỡ
lose (v);đánh mất
take (v);đưa (ai, vật gì) đến chỗ khác
bring (v);mang (ai, vật gì) dến chỗ khác
go (v);đi (đâu đó)
book (v);đặt chỗ
keep (v);giữ
arrive (v);đến nơi
reach (v);đến nơi
live (v);sinh sống
stay (v);ở tại
border (n);ranh giới
edge (n);rìa
line (n);dòng kẻ
length (n);chiều dài
distance (n);khoảng cách
guide (v);hướng dẫn, chỉ đường
lead (v);dẫn đường
native (adj);bản xứ
home (town);quê hương
catch up with;bắt kịp
check in;làm thủ tục đăng ký
check out;làm thủ tục đăng ký ra
drop off;thả ai đó xuống (xe)/ ngủ mất
get back;trở về từ
go away;đi nghỉ
keep up with;bắt kịp
make for;đi về hướng, hướng tới
pick up;đón
pull in;dừng xe bên đường
run over;đâm xe
see off;tiễn (ở ga tàu, xe)
set out/off;khởi hành
take off;cất cánh
turn round;quay ngược lại

